ticket_no,flight_id,fare_conditions,amount,ticket_no,book_ref,passenger_id,passenger_name,contact_data
0005435252378,28935,Business,18500.0,0005435252378,B7F4BA,5878 230617,IGOR ABRAMOV,"{'email': 'abramov.i_04071967@postgrespro.ru', 'phone': '+70921656474'}"
0005435252382,28935,Business,18500.0,0005435252382,F1A450,8685 063707,EVGENIY EGOROV,"{'email': 'egorov_evgeniy_1974@postgrespro.ru', 'phone': '+70313053537'}"
0005435252385,28935,Business,18500.0,0005435252385,6CD474,0386 858148,VLADIMIR POPOV,"{'email': 'popov-vladimir.01021969@postgrespro.ru', 'phone': '+70106047345'}"
0005435252379,28935,Business,18500.0,0005435252379,62CE6E,7659 440042,OLGA FROLOVA,"{'email': 'olga-frolova_18041969@postgrespro.ru', 'phone': '+70838975755'}"
0005435252390,28935,Business,18500.0,0005435252390,6C5B33,3686 229113,ILYA KRASNOV,{'phone': '+70179982119'}
0005435252381,28935,Economy,6200.0,0005435252381,F91A8D,9209 850565,LYUDMILA KONDRATEVA,"{'email': 'kondrateva-lyudmila.18031975@postgrespro.ru', 'phone': '+70083757754'}"
0005435252396,28935,Economy,6200.0,0005435252396,2B0BB1,2958 328759,TAMARA ZAYCEVA,"{'email': 'tamara-zayceva.1973@postgrespro.ru', 'phone': '+70513244559'}"
0005435491407,28935,Economy,6800.0,0005435491407,1A9592,8608 782434,VLADIMIR ALEKSEEV,{'phone': '+70553269480'}
0005435252383,28935,Economy,6800.0,0005435252383,53B4FE,7566 720412,DANIL TARASOV,"{'email': 'daniltarasov-01081973@postgrespro.ru', 'phone': '+70791348061'}"
0005432000987,28935,Economy,6200.0,0005432000987,06B046,8149 604011,VALERIY TIKHONOV,{'phone': '+70127117011'}
0005435252393,28935,Economy,6200.0,0005435252393,63F773,6752 221616,OLGA ILINA,{'phone': '+70412192735'}
0005435252392,28935,Economy,6200.0,0005435252392,63F773,4918 564353,LARISA MIRONOVA,{'phone': '+70927363938'}
0005435252388,28935,Economy,6200.0,0005435252388,5EB919,8318 696408,NATALYA GERASIMOVA,"{'email': 'ngerasimova-041970@postgrespro.ru', 'phone': '+70100356442'}"
0005432000988,28935,Economy,6200.0,0005432000988,06B046,8499 420203,EVGENIYA ALEKSEEVA,{'phone': '+70378089255'}
0005434664920,28935,Economy,6200.0,0005434664920,E0DC19,9141 443390,OLGA MAKSIMOVA,"{'email': 'olga-maksimova021959@postgrespro.ru', 'phone': '+70400321788'}"
0005435252380,28935,Economy,6200.0,0005435252380,F91A8D,7483 342316,POLINA ZAYCEVA,"{'email': 'p-zayceva-1968@postgrespro.ru', 'phone': '+70750645513'}"
0005434664919,28935,Economy,6200.0,0005434664919,78EEF0,3994 907156,ALEKSANDR ILIN,"{'email': 'aleksandrilin_051960@postgrespro.ru', 'phone': '+70688618289'}"
0005435252384,28935,Economy,6200.0,0005435252384,53B4FE,2179 290954,ANTON POPOV,"{'email': 'popovanton.081972@postgrespro.ru', 'phone': '+70424772019'}"
0005435252389,28935,Economy,6200.0,0005435252389,6C5B33,5061 003105,VIKTOR IVANOV,{'phone': '+70195636834'}
0005435252395,28935,Economy,6200.0,0005435252395,63F773,2283 355212,ALEKSANDR SMIRNOV,"{'email': 'aleksandr-smirnov.29101972@postgrespro.ru', 'phone': '+70081725068'}"
0005435491405,28935,Economy,6200.0,0005435491405,04B235,8846 041364,MARIYA GERASIMOVA,{'phone': '+70841473179'}
0005435491406,28935,Economy,6200.0,0005435491406,6760E6,5030 305859,VERA NIKITINA,"{'email': 'nikitinav_20101956@postgrespro.ru', 'phone': '+70929331700'}"
0005435252391,28935,Economy,6200.0,0005435252391,6C5B33,7728 354416,VIKTOR FEDOTOV,{'phone': '+70973188736'}
0005435252387,28935,Economy,6200.0,0005435252387,6CD474,7101 249037,FEDOR IVANOV,{'phone': '+70050618878'}
0005435252394,28935,Economy,6200.0,0005435252394,63F773,4029 240949,SVETLANA SEMENOVA,{'phone': '+70397142339'}
0005435252386,28935,Economy,6200.0,0005435252386,6CD474,5290 593375,RUDOLF VOROBEV,"{'email': 'vorobev-r.1965@postgrespro.ru', 'phone': '+70052246985'}"
